level,Percentage,date,question,pct_clean
Condition is better,3,16 july 2020,How has your underlying health condition been affected since you received shielding guidance?,3
Condition is slightly better,6,16 july 2020,How has your underlying health condition been affected since you received shielding guidance?,6
Condition is about the same,69,16 july 2020,How has your underlying health condition been affected since you received shielding guidance?,69
Condition is slightly worse,18,16 july 2020,How has your underlying health condition been affected since you received shielding guidance?,18
Condition is much worse,5,16 july 2020,How has your underlying health condition been affected since you received shielding guidance?,5
Total,100,16 july 2020,How has your underlying health condition been affected since you received shielding guidance?,100
Condition is better,2,30 june 2020,How has your underlying health condition been affected since you received shielding guidance?,2
Condition is slightly better,5,30 june 2020,How has your underlying health condition been affected since you received shielding guidance?,5
Condition is about the same,74,30 june 2020,How has your underlying health condition been affected since you received shielding guidance?,74
Condition is slightly worse,16,30 june 2020,How has your underlying health condition been affected since you received shielding guidance?,16
Condition is much worse,3,30 june 2020,How has your underlying health condition been affected since you received shielding guidance?,3
Total,100,30 june 2020,How has your underlying health condition been affected since you received shielding guidance?,100
Condition is better,2,18 june 2020,How has your underlying health condition been affected since you received shielding guidance?,2
Condition is slightly better,5,18 june 2020,How has your underlying health condition been affected since you received shielding guidance?,5
Condition is about the same,73,18 june 2020,How has your underlying health condition been affected since you received shielding guidance?,73
Condition is slightly worse,17,18 june 2020,How has your underlying health condition been affected since you received shielding guidance?,17
Condition is much worse,4,18 june 2020,How has your underlying health condition been affected since you received shielding guidance?,4
Total,100,18 june 2020,How has your underlying health condition been affected since you received shielding guidance?,100
Condition is better,2,3 june 2020,How has your underlying health condition been affected since you received shielding guidance?,2
Condition is slightly better,5,3 june 2020,How has your underlying health condition been affected since you received shielding guidance?,5
Condition is about the same,73,3 june 2020,How has your underlying health condition been affected since you received shielding guidance?,73
Condition is slightly worse,16,3 june 2020,How has your underlying health condition been affected since you received shielding guidance?,16
Condition is much worse,4,3 june 2020,How has your underlying health condition been affected since you received shielding guidance?,4
Total,100,3 june 2020,How has your underlying health condition been affected since you received shielding guidance?,100
Condition is better,2,19 may 2020,How has your underlying health condition been affected since you received shielding guidance?,2
Condition is slightly better,5,19 may 2020,How has your underlying health condition been affected since you received shielding guidance?,5
Condition is about the same,73,19 may 2020,How has your underlying health condition been affected since you received shielding guidance?,73
Condition is slightly worse,16,19 may 2020,How has your underlying health condition been affected since you received shielding guidance?,16
Condition is much worse,4,19 may 2020,How has your underlying health condition been affected since you received shielding guidance?,4
Total,100,19 may 2020,How has your underlying health condition been affected since you received shielding guidance?,100
