level,Total,Percentage,date,question,pct_clean
It's better,93,4,16 july 2020,How has your wellbeing and mental health been affected since you received shielding guidance?,4
No difference,1326,59,16 july 2020,How has your wellbeing and mental health been affected since you received shielding guidance?,59
Slightly worse,672,30,16 july 2020,How has your wellbeing and mental health been affected since you received shielding guidance?,30
Much worse,147,7,16 july 2020,How has your wellbeing and mental health been affected since you received shielding guidance?,7
Total,2237,100,16 july 2020,How has your wellbeing and mental health been affected since you received shielding guidance?,100
It's better,80,4,30 june 2020,How has your wellbeing and mental health been affected since you received shielding guidance?,4
No difference,1366,61,30 june 2020,How has your wellbeing and mental health been affected since you received shielding guidance?,61
Slightly worse,651,29,30 june 2020,How has your wellbeing and mental health been affected since you received shielding guidance?,29
Much worse,148,7,30 june 2020,How has your wellbeing and mental health been affected since you received shielding guidance?,7
Total,2245,100,30 june 2020,How has your wellbeing and mental health been affected since you received shielding guidance?,100
It's better,73,3,18 june 2020,How has your wellbeing and mental health been affected since you received shielding guidance?,3
No difference,1354,60,18 june 2020,How has your wellbeing and mental health been affected since you received shielding guidance?,60
Slightly worse,660,29,18 june 2020,How has your wellbeing and mental health been affected since you received shielding guidance?,29
Much worse,161,7,18 june 2020,How has your wellbeing and mental health been affected since you received shielding guidance?,7
Total,2248,100,18 june 2020,How has your wellbeing and mental health been affected since you received shielding guidance?,100
It's better,94,4,3 june 2020,How has your wellbeing and mental health been affected since you received shielding guidance?,4
No difference,1369,61,3 june 2020,How has your wellbeing and mental health been affected since you received shielding guidance?,61
Slightly worse,651,29,3 june 2020,How has your wellbeing and mental health been affected since you received shielding guidance?,29
Much worse,134,6,3 june 2020,How has your wellbeing and mental health been affected since you received shielding guidance?,6
Total,2248,100,3 june 2020,How has your wellbeing and mental health been affected since you received shielding guidance?,100
It's better,74,3,19 may 2020,How has your wellbeing and mental health been affected since you received shielding guidance?,3
No difference,1331,61,19 may 2020,How has your wellbeing and mental health been affected since you received shielding guidance?,61
Slightly worse,653,30,19 may 2020,How has your wellbeing and mental health been affected since you received shielding guidance?,30
Much worse,140,6,19 may 2020,How has your wellbeing and mental health been affected since you received shielding guidance?,6
Total,2198,100,19 may 2020,How has your wellbeing and mental health been affected since you received shielding guidance?,100
